,line_id,Quantity,Amount,BalanceAfterPayment,Datepaid
0,84018,2017-07-19T00:00:00.000Z,74970,,2017-07-19T00:00:00.000Z
1,84017,2017-07-19T00:00:00.000Z,109841,,2017-07-19T00:00:00.000Z
2,84016,2017-07-19T00:00:00.000Z,51128,,2017-07-19T00:00:00.000Z
3,84015,2017-07-19T00:00:00.000Z,74630,,2017-07-19T00:00:00.000Z
4,84014,2017-07-19T00:00:00.000Z,299030,,2017-07-19T00:00:00.000Z
5,84013,2017-07-24T00:00:00.000Z,492469,,2017-07-24T00:00:00.000Z
6,84012,2017-07-25T00:00:00.000Z,276100,,2017-07-25T00:00:00.000Z
7,84011,2017-07-31T00:00:00.000Z,95175,0.0,2017-07-31T00:00:00.000Z
8,84010,2017-08-02T00:00:00.000Z,128400,0.0,2017-08-02T00:00:00.000Z
9,73082,2016-06-15T00:00:00.000Z,35000,,2016-06-15T00:00:00.000Z
10,73081,2016-06-07T00:00:00.000Z,50000,,2016-06-07T00:00:00.000Z
11,73079,2016-06-16T00:00:00.000Z,31200,,2016-06-16T00:00:00.000Z
12,73078,2016-06-11T00:00:00.000Z,9750,,2016-06-11T00:00:00.000Z
13,73061,2016-06-21T00:00:00.000Z,50000,,2016-06-21T00:00:00.000Z
14,73058,2016-06-21T00:00:00.000Z,1500,,2016-06-21T00:00:00.000Z
15,73048,2016-06-21T00:00:00.000Z,45000,,2016-06-21T00:00:00.000Z
16,73054,2016-06-21T00:00:00.000Z,52500,,2016-06-21T00:00:00.000Z
17,73056,2016-06-21T00:00:00.000Z,35100,,2016-06-21T00:00:00.000Z
18,73052,2016-06-21T00:00:00.000Z,25000,,2016-06-21T00:00:00.000Z
19,73046,2016-06-21T00:00:00.000Z,23500,,2016-06-21T00:00:00.000Z
20,73037,2016-06-21T00:00:00.000Z,82500,,2016-06-21T00:00:00.000Z
21,73038,2016-06-21T00:00:00.000Z,25000,,2016-06-21T00:00:00.000Z
22,73040,2016-06-21T00:00:00.000Z,270000,,2016-06-21T00:00:00.000Z
23,73042,2016-06-21T00:00:00.000Z,23500,,2016-06-21T00:00:00.000Z
24,73034,2016-06-21T00:00:00.000Z,150000,,2016-06-21T00:00:00.000Z
25,73028,2016-06-21T00:00:00.000Z,5000,,2016-06-21T00:00:00.000Z
26,73025,2016-06-21T00:00:00.000Z,120000,,2016-06-21T00:00:00.000Z
27,73022,2016-06-21T00:00:00.000Z,101000,,2016-06-21T00:00:00.000Z
28,73017,2016-06-21T00:00:00.000Z,52500,,2016-06-21T00:00:00.000Z
29,73014,2016-06-21T00:00:00.000Z,15000,,2016-06-21T00:00:00.000Z
30,73016,2016-06-21T00:00:00.000Z,62300,,2016-06-21T00:00:00.000Z
31,73009,2016-06-21T00:00:00.000Z,10000,,2016-06-21T00:00:00.000Z
32,73011,2016-06-21T00:00:00.000Z,56500,,2016-06-21T00:00:00.000Z
33,73012,2016-06-21T00:00:00.000Z,15000,,2016-06-21T00:00:00.000Z
34,73006,2016-06-21T00:00:00.000Z,40000,,2016-06-21T00:00:00.000Z
35,73007,2016-06-21T00:00:00.000Z,52500,,2016-06-21T00:00:00.000Z
36,73003,2016-06-21T00:00:00.000Z,40000,,2016-06-21T00:00:00.000Z
37,73005,2016-06-21T00:00:00.000Z,60900,,2016-06-21T00:00:00.000Z
38,73002,2016-06-21T00:00:00.000Z,18200,,2016-06-21T00:00:00.000Z
39,72999,2016-06-21T00:00:00.000Z,3900,,2016-06-21T00:00:00.000Z
40,72997,2016-06-21T00:00:00.000Z,5000,,2016-06-21T00:00:00.000Z
41,73000,2016-06-21T00:00:00.000Z,43500,,2016-06-21T00:00:00.000Z
42,72988,2016-06-21T00:00:00.000Z,83000,,2016-06-21T00:00:00.000Z
43,72990,2016-06-21T00:00:00.000Z,19620,,2016-06-21T00:00:00.000Z
44,72986,2016-06-21T00:00:00.000Z,135000,,2016-06-21T00:00:00.000Z
45,72994,2016-06-21T00:00:00.000Z,40000,,2016-06-21T00:00:00.000Z
46,72989,2016-06-21T00:00:00.000Z,40000,,2016-06-21T00:00:00.000Z
47,72984,2016-06-21T00:00:00.000Z,25000,,2016-06-21T00:00:00.000Z
48,72992,2016-06-21T00:00:00.000Z,23243,,2016-06-21T00:00:00.000Z
49,72980,2016-06-21T00:00:00.000Z,140000,,2016-06-21T00:00:00.000Z
50,72982,2016-06-21T00:00:00.000Z,15000,,2016-06-21T00:00:00.000Z
51,72979,2016-06-21T00:00:00.000Z,25000,,2016-06-21T00:00:00.000Z
52,72965,2016-06-21T00:00:00.000Z,25000,,2016-06-21T00:00:00.000Z
53,72967,2016-06-21T00:00:00.000Z,12500,,2016-06-21T00:00:00.000Z
54,72968,2016-06-21T00:00:00.000Z,25000,,2016-06-21T00:00:00.000Z
55,72972,2016-06-21T00:00:00.000Z,50000,,2016-06-21T00:00:00.000Z
56,72973,2016-06-21T00:00:00.000Z,15000,,2016-06-21T00:00:00.000Z
57,72962,2016-06-21T00:00:00.000Z,12000,,2016-06-21T00:00:00.000Z
58,72951,2016-06-21T00:00:00.000Z,23350,,2016-06-21T00:00:00.000Z
59,72953,2016-06-21T00:00:00.000Z,25000,,2016-06-21T00:00:00.000Z
60,72955,2016-06-21T00:00:00.000Z,100000,,2016-06-21T00:00:00.000Z
61,72952,2016-06-21T00:00:00.000Z,85000,,2016-06-21T00:00:00.000Z
62,72957,2016-06-21T00:00:00.000Z,44800,,2016-06-21T00:00:00.000Z
63,72942,2016-06-21T00:00:00.000Z,34000,,2016-06-21T00:00:00.000Z
64,72941,2016-06-21T00:00:00.000Z,53000,,2016-06-21T00:00:00.000Z
65,72931,2016-06-21T00:00:00.000Z,120000,,2016-06-21T00:00:00.000Z
66,72932,2016-06-21T00:00:00.000Z,40000,,2016-06-21T00:00:00.000Z
67,72933,2016-06-21T00:00:00.000Z,4221,,2016-06-21T00:00:00.000Z
68,72929,2016-06-21T00:00:00.000Z,32500,,2016-06-21T00:00:00.000Z
69,72924,2016-06-21T00:00:00.000Z,50000,,2016-06-21T00:00:00.000Z
70,72928,2016-06-21T00:00:00.000Z,20000,,2016-06-21T00:00:00.000Z
71,72927,2016-06-21T00:00:00.000Z,73052,,2016-06-21T00:00:00.000Z
72,72917,2016-06-21T00:00:00.000Z,37664,,2016-06-21T00:00:00.000Z
73,72920,2016-06-21T00:00:00.000Z,1051800,,2016-06-21T00:00:00.000Z
74,72919,2016-06-21T00:00:00.000Z,109798,,2016-06-21T00:00:00.000Z
